Na'vi,IPA,Part of speech,English,Audio URL,Audio local URL
pamrelfya,[pam.ˈɾɛl.fja],n. ,spelling,https://s.learnnavi.org/audio/vocab/6528.mp3,6528.mp3
pamrelsiyu,[pam.ˈɾɛl.si.ju],n. ,writer,https://s.learnnavi.org/audio/vocab/9888.mp3,9888.mp3
pamrelvi,[pam.ˈɾɛl.vi],n. ,letter (phonetic symbol),https://s.learnnavi.org/audio/vocab/9208.mp3,9208.mp3
pamrelvul,[pam.ˈɾɛl.vul],n. ,"pen, pencil, lit. “writing stick.”",https://s.learnnavi.org/audio/vocab/11644.mp3,11644.mp3
pamrelvul lerìn,[pam.ˈɾɛl.vul lɛ.ˈɾɪn],n. ,"pencil, lit. “wooden writing stick.”",https://s.learnnavi.org/audio/vocab/11652.mp3,11652.mp3
pamtseo,[ˈpam.t͡sɛ.o],n. ,music,https://s.learnnavi.org/audio/vocab/1452.mp3,1452.mp3
pamtseo si,[ˈpam.t͡sɛ.o ˈs·i],vin. ,play music (with fa for instrument played),https://s.learnnavi.org/audio/vocab/7220.mp3,7220.mp3
pamtseongopyu,[pam.t͡sɛ.o.ˈŋop.ju],n. ,"music creator, composer",https://s.learnnavi.org/audio/vocab/10548.mp3,10548.mp3
pamtseotu,[ˈpam.t͡sɛ.o.tu],n. ,musician,https://s.learnnavi.org/audio/vocab/5968.mp3,5968.mp3
pamtseowll,[ˈpam.t͡sɛ.o.wḷ],n. ,"cat ear, music plant",https://s.learnnavi.org/audio/vocab/1456.mp3,1456.mp3
pamuvan,[ˈpam.u.van],n. ,sound play,https://s.learnnavi.org/audio/vocab/11140.mp3,11140.mp3
pan,[pan],n. ,"third, one third",https://s.learnnavi.org/audio/vocab/7308.mp3,7308.mp3
pängkxo,[p·æŋ.ˈk'·o],vin. ,"chat, converse, have a conversation",https://s.learnnavi.org/audio/vocab/1460.mp3,1460.mp3
pängkxoyu,[pæŋ.ˈk'o.ju],n. ,"chatter, converser",https://s.learnnavi.org/audio/vocab/5656.mp3,5656.mp3
pängkxoyu lekoren,[pæŋ.ˈk'o.ju lɛ.ko.ˈɾɛn],n. ,lawyer,https://s.learnnavi.org/audio/vocab/4128.mp3,4128.mp3
pänu,[ˈpæ.nu],n. ,promise,https://s.learnnavi.org/audio/vocab/5340.mp3,5340.mp3
pänutìng,[ˈpæ.nu.t·ɪŋ],vtr. ,promise (a thing to someone) (ii),https://s.learnnavi.org/audio/vocab/1468.mp3,1468.mp3
Pari,[ˈpa.ɾi],prop.n. ,Paris,https://s.learnnavi.org/audio/vocab/6760.mp3,6760.mp3
parul,[pa.ˈɾul],n. ,miracle,https://s.learnnavi.org/audio/vocab/11404.mp3,11404.mp3
parulnga',[pa.ˈɾul.ŋaʔ],adj. ,miraculous,https://s.learnnavi.org/audio/vocab/11408.mp3,11408.mp3
parultsyìp,[pa.ˈɾul.t͡sjɪp̚],n. ,term of affection for children,https://s.learnnavi.org/audio/vocab/11412.mp3,11412.mp3
paskalin,[pa.ska.ˈlin],n. ,sweet berry (term of endearment),https://s.learnnavi.org/audio/vocab/10852.mp3,10852.mp3
päsketpol,[ˈpæ.skɛt.pol],n. ,basketball,https://s.learnnavi.org/audio/vocab/6780.mp3,6780.mp3
pasuk,[ˈpa.suk̚],n. ,berry,https://s.learnnavi.org/audio/vocab/10844.mp3,10844.mp3
pate,[ˈp·a.t·ɛ],vin. ,"get to a place, arrive",https://s.learnnavi.org/audio/vocab/3792.mp3,3792.mp3
pätsì,[ˈpæ.t͡sɪ],n. ,badge,https://s.learnnavi.org/audio/vocab/1472.mp3,1472.mp3
paw,[p·aw],vin. ,grow; germinate and develop (of a plant),https://s.learnnavi.org/audio/vocab/11824.mp3,11824.mp3
pawk,[pawk̚],n. ,"horn, wind instrument",https://s.learnnavi.org/audio/vocab/11032.mp3,11032.mp3
pawm,[p·awm],v. ,ask,https://s.learnnavi.org/audio/vocab/1476.mp3,1476.mp3
pay,[paj],n. ,"water, liquid",https://s.learnnavi.org/audio/vocab/1480.mp3,1480.mp3
payfya,[ˈpaj.fja],n. ,stream,https://s.learnnavi.org/audio/vocab/4532.mp3,4532.mp3
payìva,[ˈpaj.ɪ.va],n. ,drop of water,https://s.learnnavi.org/audio/vocab/7420.mp3,7420.mp3
paynäpll,[ˈpaj.næ.pḷ],n. ,pineapple,https://s.learnnavi.org/audio/vocab/9884.mp3,9884.mp3
paynga',[ˈpaj.ŋaʔ],adj. ,"moist, humid, damp",https://s.learnnavi.org/audio/vocab/7548.mp3,7548.mp3
payoang,[paj.ˈo.aŋ],n. ,fish,https://s.learnnavi.org/audio/vocab/4668.mp3,4668.mp3
paysena,[ˈpaj.sɛ.na],n. ,water container,https://s.learnnavi.org/audio/vocab/10048.mp3,10048.mp3
paysmung,[ˈpaj.smuŋ],n. ,water carrier,https://s.learnnavi.org/audio/vocab/10620.mp3,10620.mp3
paystan,[paj.ˈstan],inter. ,what men,https://s.learnnavi.org/audio/vocab/13119.mp3,13119.mp3
payste,[paj.ˈstɛ],inter. ,what women,https://s.learnnavi.org/audio/vocab/13127.mp3,13127.mp3
paysu,[paj.ˈsu],inter. ,what people,https://s.learnnavi.org/audio/vocab/13111.mp3,13111.mp3
paysyul,[ˈpaj.sjul],n. ,water lily,https://s.learnnavi.org/audio/vocab/13018.mp3,13018.mp3
paytxew,[paj.ˈt'ɛw],n. ,"shoreline, water's edge",https://s.learnnavi.org/audio/vocab/11284.mp3,11284.mp3
paywll,[ˈpaj.wḷ],n. ,"water plant, dapophet",https://s.learnnavi.org/audio/vocab/1484.mp3,1484.mp3
pe'ngay,[p·ɛʔ.ˈŋaj],vin. ,"judge, conclude",https://s.learnnavi.org/audio/vocab/13235.mp3,13235.mp3
pe'ngayyu,[pɛʔ.ˈŋaj.ju],n. ,judge,https://s.learnnavi.org/audio/vocab/13237.mp3,13237.mp3
pe'un,[ˈp·ɛ.ʔ·un],vtr. ,decide,https://s.learnnavi.org/audio/vocab/1492.mp3,1492.mp3
pefnel,[pɛ.ˈfnɛl],inter. ,which kind,https://s.learnnavi.org/audio/vocab/4976.mp3,4976.mp3
pefya,[pɛ.ˈfja],inter. ,how,https://s.learnnavi.org/audio/vocab/1496.mp3,1496.mp3
pefyinep'ang,[pɛ.fjin.ɛp.ˈʔaŋ],inter. ,how complex?,https://s.learnnavi.org/audio/vocab/9160.mp3,9160.mp3
pehem,[pɛ.ˈhɛm],inter. ,what (action),https://s.learnnavi.org/audio/vocab/1500.mp3,1500.mp3
pehrr,[pɛ.ˈhṛ],inter. ,when,https://s.learnnavi.org/audio/vocab/1504.mp3,1504.mp3
pekxinum,[pɛ.ˈk'in.um],inter. ,"how tight, loose?",https://s.learnnavi.org/audio/vocab/9004.mp3,9004.mp3
pela'a,[pɛ.ˈla.ʔa],inter. ,"how near, how far, what distance",https://s.learnnavi.org/audio/vocab/13004.mp3,13004.mp3
pela'ang,[pɛ.ˈla.ʔaŋ],"inter., intj. ","wth, what the hell (lit. what pile of stinking, rotting animal matter)",https://s.learnnavi.org/audio/vocab/13212.mp3,13212.mp3
pelì'u,[pɛ.ˈlɪ.ʔu],inter. ,"what (word, utterance)",https://s.learnnavi.org/audio/vocab/4216.mp3,4216.mp3
pelìmsim,[pɛ.ˈlɪm.sim],inter. ,"how near, how far",https://s.learnnavi.org/audio/vocab/13006.mp3,13006.mp3
pelun,[pɛ.ˈlun],inter. ,why,https://s.learnnavi.org/audio/vocab/1508.mp3,1508.mp3
pemstan,[pɛm.ˈstan],inter. ,what two men,https://s.learnnavi.org/audio/vocab/13115.mp3,13115.mp3
pemste,[pɛm.ˈstɛ],inter. ,what two women,https://s.learnnavi.org/audio/vocab/13123.mp3,13123.mp3
pemsu,[pɛm.ˈsu],inter. ,what two people,https://s.learnnavi.org/audio/vocab/13107.mp3,13107.mp3
peng,[p·ɛŋ],vtr. ,tell,https://s.learnnavi.org/audio/vocab/1512.mp3,1512.mp3
penghrr,[p·ɛŋ.ˈhṛ],vin. ,warn,https://s.learnnavi.org/audio/vocab/10908.mp3,10908.mp3
penghrrap,[pɛŋ.ˈhṛ.ap̚],n. ,"binary sunshine, fringed lamp",https://s.learnnavi.org/audio/vocab/1516.mp3,1516.mp3
pensìl,[ˈpɛn.sɪl],n. ,pencil,https://s.learnnavi.org/audio/vocab/11656.mp3,11656.mp3
pepstan,[pɛp.ˈstan],inter. ,what three men,https://s.learnnavi.org/audio/vocab/13117.mp3,13117.mp3
pepste,[pɛp.ˈstɛ],inter. ,what three women,https://s.learnnavi.org/audio/vocab/13125.mp3,13125.mp3
pepsu,[pɛp.ˈsu],inter. ,what three people,https://s.learnnavi.org/audio/vocab/13109.mp3,13109.mp3
peseng,[pɛ.ˈsɛŋ],inter. ,where,https://s.learnnavi.org/audio/vocab/1520.mp3,1520.mp3
peslosnep,[pɛ.slo.ˈsnɛp̚],inter. ,"what width, how wide?",https://s.learnnavi.org/audio/vocab/8904.mp3,8904.mp3
pesomwew,[pɛ.som.ˈwɛw],inter. ,what temperature?,https://s.learnnavi.org/audio/vocab/7504.mp3,7504.mp3
pestan,[pɛ.ˈstan],inter. ,what man,https://s.learnnavi.org/audio/vocab/13113.mp3,13113.mp3
peste,[pɛ.ˈstɛ],inter. ,what woman,https://s.learnnavi.org/audio/vocab/13121.mp3,13121.mp3
pesu,[pɛ.ˈsu],inter. ,who,https://s.learnnavi.org/audio/vocab/1524.mp3,1524.mp3
peu,[pɛ.ˈu],inter. ,what (thing),https://s.learnnavi.org/audio/vocab/1528.mp3,1528.mp3
pewn,[pɛwn],n. ,neck,https://s.learnnavi.org/audio/vocab/4476.mp3,4476.mp3
pey,[p·ɛj],vin. ,"wait, wait for",https://s.learnnavi.org/audio/vocab/1532.mp3,1532.mp3
Peyral,[pɛj.ˈɾal],prop.n. ,female Na'vi of the Omatikaya Clan,https://s.learnnavi.org/audio/vocab/13075.mp3,13075.mp3
piak,[pi.ˈak̚],adj. ,"open, clear (for cloudless skies)",https://s.learnnavi.org/audio/vocab/5248.mp3,5248.mp3
piak säpi,[pi.ˈak̚ sæ.ˌp·i],vin. ,"open oneself, open by itself, open on its own",https://s.learnnavi.org/audio/vocab/13167.mp3,13167.mp3
piak si,[pi.ˈak̚ s·i],vin. ,open,https://s.learnnavi.org/audio/vocab/3796.mp3,3796.mp3
pil,[pil],n. ,facial stripe,https://s.learnnavi.org/audio/vocab/6616.mp3,6616.mp3
pìlok,[pɪ.ˈlok̚],n. ,blog,https://s.learnnavi.org/audio/vocab/5540.mp3,5540.mp3
pìmtxan,[pɪm.ˈt'an],inter. ,how much,https://s.learnnavi.org/audio/vocab/4208.mp3,4208.mp3
pinvul,[ˈpin.vul],n. ,crayon,https://s.learnnavi.org/audio/vocab/11488.mp3,11488.mp3
pìsaw,[pɪ.ˈsaw],adj. ,"clumsy, accidentprone",https://s.learnnavi.org/audio/vocab/11228.mp3,11228.mp3
pìtìk,[ˈp·ɪ.t·ɪk̚],vtr. ,"scratch non-harmfully, as an itch",https://s.learnnavi.org/audio/vocab/13204.mp3,13204.mp3
pìwopx,[pɪ.ˈwop'],n. ,cloud,https://s.learnnavi.org/audio/vocab/6660.mp3,6660.mp3
pìwopxtsyìp,[pɪ.ˈwop'.t͡sjɪp̚],n. ,nebula,https://s.learnnavi.org/audio/vocab/8776.mp3,8776.mp3
pizayu,[ˈpi.za.ju],n. ,ancestor,https://s.learnnavi.org/audio/vocab/1540.mp3,1540.mp3
pllhrr,[p·ḷ.ˈhṛ],vin. ,warn,https://s.learnnavi.org/audio/vocab/11008.mp3,11008.mp3
pllngay,[p·ḷ.ˈŋaj],vin. ,admit,https://s.learnnavi.org/audio/vocab/7724.mp3,7724.mp3
plltxe,[p·ḷ.ˈt'·ɛ],v. ,speak,https://s.learnnavi.org/audio/vocab/1544.mp3,1544.mp3
plltxepam,[pḷ.ˈtɛ'.pam],n. ,speech sound; phoneme,https://s.learnnavi.org/audio/vocab/13187.mp3,13187.mp3
plltxeyu,[pḷ.ˈt'ɛ.ju],n. ,speaker,https://s.learnnavi.org/audio/vocab/10756.mp3,10756.mp3
po,[po],pn. ,"he, she",https://s.learnnavi.org/audio/vocab/1548.mp3,1548.mp3
poan,[po.ˈan],pn. ,he (no plural form: use (ay)fo),https://s.learnnavi.org/audio/vocab/1552.mp3,1552.mp3
poe,[po.ˈɛ],pn. ,she (no plural form: use (ay)fo),https://s.learnnavi.org/audio/vocab/1556.mp3,1556.mp3
polpxay,[pol.ˈp'aj],inter. ,how many,https://s.learnnavi.org/audio/vocab/5312.mp3,5312.mp3
pom,[p·om],vtr. ,kiss,https://s.learnnavi.org/audio/vocab/3800.mp3,3800.mp3
pon,[p·on],vtr. ,balance,https://s.learnnavi.org/audio/vocab/13150.mp3,13150.mp3
pongu,[ˈpo.ŋu],n. ,a group or party of people,https://s.learnnavi.org/audio/vocab/1560.mp3,1560.mp3
Pongu Pongu,[ˈpo.ŋu ˈpo.ŋu],prop.n. ,party party (irregular use; Name of bar at Disney's Pandora – The World of Avatar),https://s.learnnavi.org/audio/vocab/13076.mp3,13076.mp3
postì,[ˈpo.stɪ],n. ,(forum/blog) post,https://s.learnnavi.org/audio/vocab/9704.mp3,9704.mp3
Poston,[ˈpo.ston],prop.n. ,Boston,https://s.learnnavi.org/audio/vocab/11724.mp3,11724.mp3
prrku,[ˈpṛ.ku],n. ,womb,https://s.learnnavi.org/audio/vocab/8712.mp3,8712.mp3
prrkxentrrkrr,[ˈpṛ.k'ɛn.tṛ.kṛ],n. ,"day time smoking pleasure, vibrating tongue (Na'vi idiom)",https://s.learnnavi.org/audio/vocab/5664.mp3,5664.mp3
prrnen,[ˈpṛ.nɛn],n. ,"infant, baby",https://s.learnnavi.org/audio/vocab/1564.mp3,1564.mp3
prrnesyul,[ˈpṛ.nɛ.sjul],n. ,bud,https://s.learnnavi.org/audio/vocab/1568.mp3,1568.mp3
prrsmung,[ˈpṛ.smuŋ],n. ,baby carrier,https://s.learnnavi.org/audio/vocab/10624.mp3,10624.mp3
prrte',[ˈpṛ.tɛʔ],adj. ,pleasurable (of an activity),https://s.learnnavi.org/audio/vocab/1572.mp3,1572.mp3
prrwll,[ˈpṛ.wḷ],n. ,moss,https://s.learnnavi.org/audio/vocab/4124.mp3,4124.mp3
puk,[puk̚],n. ,book,https://s.learnnavi.org/audio/vocab/4496.mp3,4496.mp3
pukap,[ˈpu.kap̚],num. ,six,https://s.learnnavi.org/audio/vocab/4316.mp3,4316.mp3
puktsyìp,[ˈpuk.t͡sjɪp̚],n. ,"pamphlet, booklet",https://s.learnnavi.org/audio/vocab/6092.mp3,6092.mp3
pum,[pum],pn. ,one (placeholder pronoun referring to a previously mentioned noun or pronoun),https://s.learnnavi.org/audio/vocab/5564.mp3,5564.mp3
pung,[p·uŋ],vtr. ,"hurt, injure",https://s.learnnavi.org/audio/vocab/13275.mp3,13275.mp3
pup,[pup̚],adj. ,short (physical length),https://s.learnnavi.org/audio/vocab/7496.mp3,7496.mp3
pupxì,[pu.ˈp'ɪ],n. ,one-sixth,https://s.learnnavi.org/audio/vocab/13161.mp3,13161.mp3
puve,[ˈpu.vɛ],adj. ,sixth (ordinal),https://s.learnnavi.org/audio/vocab/5624.mp3,5624.mp3
pxan,[p'an],adj. ,worthy,https://s.learnnavi.org/audio/vocab/1580.mp3,1580.mp3
pxasìk,[ˈp'a.sɪk̚],intj. ,"screw that!, no way! (vulgar)",https://s.learnnavi.org/audio/vocab/1584.mp3,1584.mp3
pxasul,[ˈp'a.sul],adj. ,"fresh, appealing as food",https://s.learnnavi.org/audio/vocab/1588.mp3,1588.mp3
pxaw,[p'aw],adp. ,around,https://s.learnnavi.org/audio/vocab/4040.mp3,4040.mp3
pxawngip,[ˈp'aw.ŋip̚],n. ,environment,https://s.learnnavi.org/audio/vocab/10760.mp3,10760.mp3
pxawpa,[ˈp'aw.pa],n. ,"perimeter, circumference, border",https://s.learnnavi.org/audio/vocab/4536.mp3,4536.mp3
pxawpxun,[ˈp'aw.p'un],n. ,armband,https://s.learnnavi.org/audio/vocab/7840.mp3,7840.mp3
pxawtxap,[p'aw.ˈt'·ap̚],vtr. ,squeeze,https://s.learnnavi.org/audio/vocab/13186.mp3,13186.mp3
pxay,[p'aj],adj. ,many,https://s.learnnavi.org/audio/vocab/1592.mp3,1592.mp3
pxayopin,[ˈp'aj.o.pin],adj. ,"colorful, multicolored, variegated",https://s.learnnavi.org/audio/vocab/9876.mp3,9876.mp3
pxayzekwä,[p'aj.ˈzɛk.wæ],n. ,spiny whips,https://s.learnnavi.org/audio/vocab/5764.mp3,5764.mp3
pxek,[p'·ɛk̚],vtr. ,"kick, shove",https://s.learnnavi.org/audio/vocab/10028.mp3,10028.mp3
pxel,[p'ɛl],adp. ,"like, as",https://s.learnnavi.org/audio/vocab/4044.mp3,4044.mp3
pxelo,[ˈp'ɛ.lo],adv. ,"thrice, three times",https://s.learnnavi.org/audio/vocab/6524.mp3,6524.mp3
pxen,[p'ɛn],n. ,functional clothing (item of),https://s.learnnavi.org/audio/vocab/7788.mp3,7788.mp3
pxesrram,[p'ɛ.sṛ.ˈam],"n., adv. ",three days ago,https://s.learnnavi.org/audio/vocab/8976.mp3,8976.mp3
pxesrray,[p'ɛ.sṛ.ˈaj],"n., adv. ",three days from now,https://s.learnnavi.org/audio/vocab/8980.mp3,8980.mp3
pxestampe,[p'ɛ.ˈstam.pɛ],inter. ,what three men,https://s.learnnavi.org/audio/vocab/13118.mp3,13118.mp3
pxestepe,[p'ɛ.ˈstɛ.pɛ],inter. ,what three women,https://s.learnnavi.org/audio/vocab/13126.mp3,13126.mp3
pxesupe,[p'ɛ.ˈsu.pɛ],inter. ,what three people,https://s.learnnavi.org/audio/vocab/13110.mp3,13110.mp3
pxey,[p'ɛj],num. ,three,https://s.learnnavi.org/audio/vocab/1604.mp3,1604.mp3
pxeyve,[ˈp'ɛj.vɛ],adj. ,third (ordinal),https://s.learnnavi.org/audio/vocab/5612.mp3,5612.mp3
pxi,[p'i],adj. ,sharp (as a point),https://s.learnnavi.org/audio/vocab/1608.mp3,1608.mp3
pxim,[p'im],adj. ,"erect, upright",https://s.learnnavi.org/audio/vocab/4388.mp3,4388.mp3
pxìm,[p'ɪm],adv. ,often,https://s.learnnavi.org/audio/vocab/1612.mp3,1612.mp3
pximaw,[p'i.ˈmaw],adp. ,right after,https://s.learnnavi.org/audio/vocab/5076.mp3,5076.mp3
pxìmun'i,[p'ɪ.m·un.ˈʔ·i],vtr. ,"divide, cut into parts",https://s.learnnavi.org/audio/vocab/8416.mp3,8416.mp3
pxir,[p'iɾ],n. ,beer,https://s.learnnavi.org/audio/vocab/5676.mp3,5676.mp3
pxiset,[p'i.ˈsɛt̚],adv. ,right now,https://s.learnnavi.org/audio/vocab/5060.mp3,5060.mp3
pxisre+,[p'i.ˈsɾɛ],adp. ,right before,https://s.learnnavi.org/audio/vocab/5072.mp3,5072.mp3
pxiswawam,[p'i.swaw.ˈam],adv. ,just a moment ago,https://s.learnnavi.org/audio/vocab/5056.mp3,5056.mp3
pxiswaway,[p'i.swaw.ˈaj],adv. ,in just a second from now,https://s.learnnavi.org/audio/vocab/5064.mp3,5064.mp3
pxiut,[ˈp'i.ut̚],n. ,"razor palm, sharp tree",https://s.learnnavi.org/audio/vocab/1616.mp3,1616.mp3
pxiwll,[ˈp'i.wḷ],n. ,hermit bud plant,https://s.learnnavi.org/audio/vocab/5720.mp3,5720.mp3
pxiye'rìn,[p'i.ˈjɛʔ.ɾɪn],adv. ,immediately (not as soon as pxiswaway),https://s.learnnavi.org/audio/vocab/5068.mp3,5068.mp3
pxoe,[ˈp'o.ɛ],pn. ,"we three, us three (exclusive)",https://s.learnnavi.org/audio/vocab/13035.mp3,13035.mp3
pxor,[p'·oɾ],vin. ,explode,https://s.learnnavi.org/audio/vocab/3804.mp3,3804.mp3
pxorna',[ˈp'oɾ.naʔ],n. ,"episoth, exploding seed",https://s.learnnavi.org/audio/vocab/1620.mp3,1620.mp3
pxorna'lor,[ˈp'oɾ.naʔ.ˈloɾ],n. ,"sari, beautiful exploding seed plant",https://s.learnnavi.org/audio/vocab/5760.mp3,5760.mp3
pxorpam,[ˈp'oɾ.pam],n. ,ejective consonant,https://s.learnnavi.org/audio/vocab/6908.mp3,6908.mp3
pxul,[p'ul],adj. ,"formidable, imposing",https://s.learnnavi.org/audio/vocab/13213.mp3,13213.mp3
pxun,[p'un],n. ,arm,https://s.learnnavi.org/audio/vocab/1624.mp3,1624.mp3
pxuntil,[ˈp'un.til],n. ,elbow,https://s.learnnavi.org/audio/vocab/1628.mp3,1628.mp3
rä'ä,[ɾæ.ˈʔæ],part. ,"do not (for negative imperatives, commands only)",https://s.learnnavi.org/audio/vocab/1632.mp3,1632.mp3
ra'un,[ˈɾ·a.ʔ·un],vtr. ,"surrender, relinquish, give up",https://s.learnnavi.org/audio/vocab/13270.mp3,13270.mp3
ral,[ɾal],n. ,meaning,https://s.learnnavi.org/audio/vocab/1640.mp3,1640.mp3
ralke,[ˈɾal.kɛ],adj. ,"meaningless, devoid of content",https://s.learnnavi.org/audio/vocab/13009.mp3,13009.mp3
ralnga',[ˈɾal.ŋaʔ],adj. ,"meaningful, instructive, something from which a lesson can be learned",https://s.learnnavi.org/audio/vocab/9132.mp3,9132.mp3
ralpeng,[ɾal.ˈp·ɛŋ],vtr. ,interpret (ii),https://s.learnnavi.org/audio/vocab/1644.mp3,1644.mp3
Ralu,[ˈɾa.lu],prop.n. ,male Na'vi,https://s.learnnavi.org/audio/vocab/13077.mp3,13077.mp3
ram,[ɾam],n. ,mountain,https://s.learnnavi.org/audio/vocab/6308.mp3,6308.mp3
ramtsyìp,[ˈɾam.t͡sjɪp̚],n. ,hill,https://s.learnnavi.org/audio/vocab/6664.mp3,6664.mp3
ramunong,[ɾa.ˈmu.noŋ],n. ,well,https://s.learnnavi.org/audio/vocab/4528.mp3,4528.mp3
ran,[ɾan],n. ,"intrinsic character or nature, essence, constititution; basic nature of something resulting from the totality of its properties; often best translated as personality",https://s.learnnavi.org/audio/vocab/9236.mp3,9236.mp3
rangal,[ˈɾ·a.ŋ·al],vin. ,wish,https://s.learnnavi.org/audio/vocab/4228.mp3,4228.mp3
räptum,[ɾæp.ˈtum],adj. ,"coarse, vulgar, socially unacceptable",https://s.learnnavi.org/audio/vocab/10980.mp3,10980.mp3
raspu',[ɾa.ˈspuʔ],n. ,leggings (used in war),https://s.learnnavi.org/audio/vocab/7796.mp3,7796.mp3
raw,[ɾaw],adp. ,down to,https://s.learnnavi.org/audio/vocab/13001.mp3,13001.mp3
rawke,[ˈɾaw.kɛ],intj. ,"alarm cry, call to defense",https://s.learnnavi.org/audio/vocab/1656.mp3,1656.mp3
rawm,[ɾawm],n. ,lightning (general term),https://s.learnnavi.org/audio/vocab/9036.mp3,9036.mp3
rawmpxom,[ˈɾawm.p'om],n. ,thunder and lightning,https://s.learnnavi.org/audio/vocab/9040.mp3,9040.mp3
rawn,[ɾ·awn],vtr. ,"replace, substitute",https://s.learnnavi.org/audio/vocab/8296.mp3,8296.mp3
rawng,[ɾawŋ],n. ,"entrance, doorway",https://s.learnnavi.org/audio/vocab/10940.mp3,10940.mp3
rawp,[ɾawp̚],n. ,bladder polyp,https://s.learnnavi.org/audio/vocab/5784.mp3,5784.mp3
re'o,[ˈɾɛ.ʔo],n. ,head,https://s.learnnavi.org/audio/vocab/4480.mp3,4480.mp3
rel,[ɾɛl],n. ,"image, picture",https://s.learnnavi.org/audio/vocab/1660.mp3,1660.mp3
rel arusikx,[ˈɾɛl a.ɾu.ˈsik'],n. ,"movie, film, video",https://s.learnnavi.org/audio/vocab/9892.mp3,9892.mp3
reltseo,[ˈɾɛl.t͡sɛ.o],n. ,visual art,https://s.learnnavi.org/audio/vocab/1664.mp3,1664.mp3
reltseotu,[ˈɾɛl.t͡sɛ.o.tu],n. ,artist (visual),https://s.learnnavi.org/audio/vocab/1668.mp3,1668.mp3
relvul,[ˈɾɛl.vul],n. ,"pen, pencil, lit. “writing stick.” (short form of pamrelvul)",https://s.learnnavi.org/audio/vocab/11648.mp3,11648.mp3
rem,[ɾɛm],n. ,fuel,https://s.learnnavi.org/audio/vocab/11464.mp3,11464.mp3
reng,[ɾɛŋ],adj. ,shallow (physically),https://s.learnnavi.org/audio/vocab/6352.mp3,6352.mp3
rengop,[ˈɾɛ.ŋ·op̚],vtr. ,design (finer detail),https://s.learnnavi.org/audio/vocab/9496.mp3,9496.mp3
renten,[ˈɾɛn.tɛn],n. ,"goggles, (made from insect wings, carved from wood, etc)",https://s.learnnavi.org/audio/vocab/7844.mp3,7844.mp3
renu,[ˈɾɛ.nu],n. ,pattern,https://s.learnnavi.org/audio/vocab/1672.mp3,1672.mp3
renulke,[ˈɾɛ.nul.kɛ],adj. ,"irregular, random",https://s.learnnavi.org/audio/vocab/9932.mp3,9932.mp3
rewon,[ˈɾɛ.won],n. ,morning,https://s.learnnavi.org/audio/vocab/5368.mp3,5368.mp3
rey,[ɾ·ɛj],vin. ,live,https://s.learnnavi.org/audio/vocab/1676.mp3,1676.mp3
rey'eng,[ɾɛj.ˈʔɛŋ],n. ,the Balance of Life,https://s.learnnavi.org/audio/vocab/4956.mp3,4956.mp3
reyfya,[ˈɾɛj.fja],n. ,"way of living, culture",https://s.learnnavi.org/audio/vocab/9252.mp3,9252.mp3
reykol,[ɾɛj.ˈk·ol],vtr. ,"play music, make to sing (poetic)",https://s.learnnavi.org/audio/vocab/9092.mp3,9092.mp3
reym,[ɾɛjm],n. ,dry land,https://s.learnnavi.org/audio/vocab/10472.mp3,10472.mp3
reypay,[ˈɾɛj.paj],n. ,blood,https://s.learnnavi.org/audio/vocab/4512.mp3,4512.mp3
reypaytun,[ˈɾɛj.paj.tun],adj. ,red (“blood tun”),https://s.learnnavi.org/audio/vocab/11472.mp3,11472.mp3
rì'ìr,[ˈɾɪ.ʔɪɾ],n. ,reflection,https://s.learnnavi.org/audio/vocab/8052.mp3,8052.mp3
rì'ìr si,[ˈɾɪʔ.ɪɾ s·i],vin. ,"reflect, imitate",https://s.learnnavi.org/audio/vocab/8056.mp3,8056.mp3
rìk,[ɾɪk̚],n. ,leaf,https://s.learnnavi.org/audio/vocab/4412.mp3,4412.mp3
rìkean,[ˈɾɪ.kɛ.an],adj. ,leaf green,https://s.learnnavi.org/audio/vocab/6624.mp3,6624.mp3
rikx,[ɾ·ik'],vin. ,"move, shift position",https://s.learnnavi.org/audio/vocab/1684.mp3,1684.mp3
rìkxi,[ɾ·ɪ.ˈk'·i],vin. ,"tremble, shake, shiver",https://s.learnnavi.org/audio/vocab/11500.mp3,11500.mp3
rim,[ɾim],adj. ,yellow,https://s.learnnavi.org/audio/vocab/1688.mp3,1688.mp3
rimpin,[ˈɾim.pin],n. ,yellow,https://s.learnnavi.org/audio/vocab/6588.mp3,6588.mp3
rìn,[ɾɪn],n. ,wood,https://s.learnnavi.org/audio/vocab/8488.mp3,8488.mp3
rina',[ɾi.ˈnaʔ],n. ,seed,https://s.learnnavi.org/audio/vocab/1692.mp3,1692.mp3
Rini,[ˈɾi.ni],prop.n. ,female Na'vi,https://s.learnnavi.org/audio/vocab/13078.mp3,13078.mp3
ripx,[ɾ·ip'],vtr. ,pierce,https://s.learnnavi.org/audio/vocab/11364.mp3,11364.mp3
riti,[ˈɾi.ti],n. ,stingbat,https://s.learnnavi.org/audio/vocab/1696.mp3,1696.mp3
ro'a,[ˈɾ·o.ʔ·a],vin. ,"be impressive, inspire awe or respect",https://s.learnnavi.org/audio/vocab/8572.mp3,8572.mp3
ro+,[ɾo],adp. ,at (locative),https://s.learnnavi.org/audio/vocab/4068.mp3,4068.mp3
